domain,price_usd,sale_year,tld
ai432.tech,103298,2017,tech
neural423.tech,89469,2023,tech
crypto871.io,92215,2024,io
fin421.io,37929,2024,io
fin433.ai,41267,2022,ai
fin885.net,9443,2015,net
fin677.io,41072,2022,io
smart705.net,5064,2020,net
quant600.com,71785,2015,com
ai830.net,66590,2019,net
quant923.io,67409,2016,io
neural133.io,99116,2016,io
cloud994.ai,39275,2024,ai
cloud69.tech,38544,2018,tech
fin18.com,9716,2022,com
block834.io,86620,2019,io
cloud315.io,41152,2024,io
quant955.io,100417,2018,io
block667.net,62343,2015,net
crypto649.org,67462,2016,org
future97.ai,22982,2016,ai
fin577.org,6382,2015,org
fin329.io,52503,2018,io
web834.net,8819,2025,net
health628.org,10399,2016,org
block691.io,63710,2022,io
health725.net,10567,2023,net
cloud576.tech,41720,2021,tech
